text,label
Customer service sangat membantu,positif
Pembelian yang sangat mengecewakan,negatif
Produk lumayan cukup untuk dipakai,netral
Tidak lebih tidak kurang standar saja,netral
Seller tidak responsif susah dihubungi,negatif
Pengiriman tidak ada kendala berarti,netral
Sangat direkomendasikan untuk semua,positif
Kondisi barang saat tiba cukup baik,netral
Warna berbeda jauh dari foto,negatif
Standar saja sesuai dengan harga,netral
Belanja mudah nyaman dan terpercaya,positif
Pelayanan sangat memuaskan dan ramah,positif
Mantap dan memuaskan sekali,positif
Ini pembelian biasa saja tidak istimewa,netral
Seller tidak profesional mengecewakan,negatif
Sangat merekomendasikan produk ini kepada teman,positif
Kecewa berat tidak akan beli lagi,negatif
Barang tiba dalam kondisi yang cukup,netral
Pengiriman normal tiga sampai empat hari,netral
Barang sampai utuh berkualitas baik,positif
Seller tidak bertanggung jawab,negatif
Produk tidak istimewa tapi cukup memadai,netral
Produk seperti yang diharapkan standar,netral
Kualitas sangat buruk jauh dari foto,negatif
Kualitas tinggi tidak mengecewakan sama sekali,positif
Produk ini jauh lebih baik dari ekspektasi saya,positif
Belanja disini ga pernah kecewa,positif
Produk original sesuai deskripsi,positif
Recommended banget buat semua orang,positif
Tidak recommended sama sekali,negatif
Produk standar sesuai harga yang dibayar,netral
Top kualitas harga bersahabat,positif
Barang rusak parah tidak bisa dipakai,negatif
Barang tiba sesuai jadwal kondisi normal,netral
Pengiriman tepat waktu sesuai estimasi,netral
Sempurna tidak ada yang kurang,positif
Pengiriman biasa saja dalam waktu normal,netral
Produk hebat sesuai kebutuhan,positif
Layanan prima pengiriman super cepat,positif
Pengalaman berbelanja yang sangat menyenangkan,positif
Kualitas juara harga bersahabat,positif
Produk cukup baik untuk kebutuhan sehari,netral
Pengiriman cepat dan aman sampai tujuan,positif
Produk awet dan tahan lama,positif
Barang sesuai deskripsi biasa saja,netral
